FID,OBJECTID,MouthLat,MouthLon,delta_name,BasinID,BasinArea,Continent,ChannelSlo,Discharge_,Discharge1,TidalAmp,QRiver_pri,QTide,QWave,RFluvial,Rtide,Rwave,Wave_lat,Wave_lon
10,11,29.112500000000001,270.737500000000010,426769.000000000000000,426769.000000000000000,3675104.000000000000000,1.000000000000000,0.000040000000000,15452.000000000000000,3885.539062500000000,0.292000000000000,12614.000000000000000,3171.899413300000100,1008.607688900000000,0.751078904742000,0.188865287561000,0.060055807697500,29.000000000000000,271.000000000000000
11,12,16.066666666700002,343.524999999999980,47262.000000000000000,47262.000000000000000,441878.000000000000000,2.000000000000000,0.000029850159574,685.034994332999990,9935.132812500000000,0.655000000000000,561.331624412999990,8141.050145670000300,478.434936522999980,0.061141796242300,0.886745744506000,0.052112459252000,16.000000000000000,344.000000000000000
12,13,5.795833333330000,360.654166667000030,81147.000000000000000,81147.000000000000000,417726.000000000000000,2.000000000000000,0.000102569079002,1508.907835779999900,2340.782226559999800,0.781000000000000,548.994009955000020,851.659319752999980,633.616455077999940,0.269872764203000,0.418656033788000,0.311471202009000,5.500000000000000,1.000000000000000
13,14,4.395833333330000,6.070833333330000,90857.000000000000000,90857.000000000000000,2160201.000000000000000,2.000000000000000,0.000070000000000,6130.000000000000000,21534.226562500000000,0.891000000000000,1268.000000000000000,4454.388137230000200,491.707641602000020,0.204052213730000,0.716820000169000,0.079127786101400,4.000000000000000,6.500000000000000
14,15,-6.066666666670000,12.466666666700000,108677.000000000000000,108677.000000000000000,3704025.000000000000000,2.000000000000000,0.000152943435418,48143.448625500001000,18279.517578100000000,0.747000000000000,16009.335836300001000,6078.561968199999700,383.784576415999990,0.712422664441000,0.270498748833000,0.017078586725800,-6.500000000000000,12.500000000000000
15,16,-28.629166666700002,16.454166666700001,159689.000000000000000,159689.000000000000000,875222.000000000000000,2.000000000000000,0.001000000000000,442.000000000000000,9.913121223450000,0.835000000000000,2806.000000000000000,9.913121223450000,2086.230957029999900,0.572402596743000,0.002022201115510,0.425575202142000,-29.000000000000000,16.500000000000000
16,17,31.445833333300001,30.387499999999999,20041.000000000000000,20041.000000000000000,2558689.000000000000000,2.000000000000000,0.000090000000000,3484.000000000000000,219.353530884000010,0.147000000000000,3800.000000000000000,219.353530884000010,320.851470947000000,0.875534680596000,0.050539900947400,0.073925418456500,31.000000000000000,30.500000000000000
17,18,-25.170833333299999,33.516666666699997,154892.000000000000000,154892.000000000000000,401397.000000000000000,2.000000000000000,0.000540000000000,835.000000000000000,104.654548645000010,1.118000000000000,1046.000000000000000,104.654548645000010,376.269775391000000,0.685037223872000,0.068539446911400,0.246423329217000,-25.500000000000000,34.000000000000000
18,19,18.566666666700002,267.329166666999980,99565.000000000000000,99565.000000000000000,122347.000000000000000,3.000000000000000,0.000041770870719,3351.050416720000200,2097.683105470000100,0.429000000000000,2230.690813889999800,1396.362886840000100,402.496871947999980,0.553583029586000,0.346530676722000,0.099886293691700,18.500000000000000,267.500000000000000
19,20,10.545833333299999,276.500000000000000,135351.000000000000000,135351.000000000000000,1083.000000000000000,3.000000000000000,0.000099000856962,98.280007696900000,6.416336059570000,0.252000000000000,18.895193010500002,1.233596853590000,141.715972900000000,0.116748869026000,0.007622099303800,0.875629031670000,10.500000000000000,277.000000000000000
20,21,9.449999999999999,284.070833333000000,21480.000000000000000,21480.000000000000000,14024.000000000000000,4.000000000000000,0.000198748513262,361.176417332000030,5.005972862240000,0.257000000000000,318.697002911000030,4.417200213780000,304.507232665999990,0.507785401736000,0.007038000874230,0.485176597390000,9.000000000000000,284.500000000000000
21,22,11.070833333300000,285.158333332999970,9447.000000000000000,9447.000000000000000,257710.000000000000000,4.000000000000000,0.000100000000000,7530.000000000000000,218.564682006999990,0.235000000000000,6970.000000000000000,202.310203664000000,1080.242431639999900,0.844587160848000,0.024514863776600,0.130897975375000,11.000000000000000,285.500000000000000
22,23,8.579166666670000,299.020833332999980,26855.000000000000000,26855.000000000000000,933108.000000000000000,4.000000000000000,0.000020000000000,34500.000000000000000,1202974.125000000000000,0.913000000000000,5493.000000000000000,191534.401989000010000,313.303497314000030,0.027835108760000,0.970577263910000,0.001587627329810,8.500000000000000,299.500000000000000
23,24,6.450000000000000,301.408333332999970,32596.000000000000000,32596.000000000000000,154585.000000000000000,4.000000000000000,0.000020000000000,3826.460555530000000,330790.937500000000000,1.219000000000000,758.208754086000000,65545.843461600001000,291.257781981999980,0.011385317586400,0.984241134457000,0.004373547956950,6.000000000000000,301.500000000000000
24,25,-33.933333333299998,301.479166667000020,121076.000000000000000,121076.000000000000000,2342745.000000000000000,4.000000000000000,0.000040000000000,14506.000000000000000,3337.749267579999900,0.139000000000000,2838.000000000000000,653.007887866000030,1.000000000000000,0.812712940845000,0.187000690959000,0.000286368196210,-34.000000000000000,301.500000000000000
25,26,-32.941666666700002,301.899999999999980,118700.000000000000000,118700.000000000000000,255728.000000000000000,4.000000000000000,0.000059732624448,4383.606144460000000,541.242309569999970,0.139000000000000,808.302656781999990,99.800844868499993,1.000000000000000,0.889120606526000,0.109779408711000,0.001099984763210,-33.000000000000000,302.000000000000000
26,27,-0.666666666667000,308.920833333000020,54097.000000000000000,54097.000000000000000,5981054.000000000000000,4.000000000000000,0.000040000000000,198676.000000000000000,4552783.500000000000000,1.688000000000000,37843.000000000000000,867195.765923000060000,0.293041467667000,0.041813664974100,0.958186011237000,0.000000323788752,-1.000000000000000,309.000000000000000
27,28,-10.462500000000000,323.595833332999970,84161.000000000000000,84161.000000000000000,645547.000000000000000,4.000000000000000,0.000200000000000,3606.369959040000100,2125.268066409999800,1.002000000000000,2536.894691519999900,1495.016134490000000,4411.648239029999800,0.300453241574000,0.177059948652000,0.522486809774000,-10.500000000000000,324.000000000000000
28,29,51.466666666700000,360.320833333000000,133029.000000000000000,133029.000000000000000,13362.000000000000000,5.000000000000000,0.000238171120596,65.981610132100002,3424.759765629999900,2.322000000000000,8.995524517560000,466.910558514000000,8.271237373350001,0.018578987776700,0.964337937439000,0.017083074784300,51.000000000000000,0.500000000000000
29,30,40.720833333300000,360.854166667000020,243383.000000000000000,243383.000000000000000,86370.000000000000000,5.000000000000000,0.000210000000000,1400.000000000000000,9.651847839360000,0.106000000000000,576.000000000000000,3.971045968190000,70.000000000000000,0.886193321338000,0.006109573638430,0.107697105024000,40.500000000000000,1.000000000000000
30,31,51.962499999999999,4.154166666670000,124863.000000000000000,124863.000000000000000,153803.000000000000000,5.000000000000000,0.000065998096543,2048.688216489999800,19632.785156300000000,1.278000000000000,1975.891542330000000,18935.167308700002000,171.993637084999990,0.093719424331300,0.898122666031000,0.008157909637710,51.500000000000000,4.500000000000000
31,32,51.233333333300003,4.400000000000000,135351.000000000000000,135351.000000000000000,18783.000000000000000,5.000000000000000,0.000099000856962,98.280007696900000,3644.896240229999900,1.498000000000000,18.895193010500002,700.763253650000020,119.654754639000000,0.022512684158000,0.834924617610000,0.142562698232000,51.000000000000000,4.500000000000000
32,33,43.383333333300001,4.808333333330000,209878.000000000000000,209878.000000000000000,99840.000000000000000,5.000000000000000,0.000110000000000,1700.000000000000000,74.456306457500006,0.142000000000000,1861.000000000000000,74.456306457500006,75.725746154800007,0.925326475335000,0.037021166910700,0.037652357754700,43.000000000000000,5.000000000000000
33,34,43.658333333300000,7.200000000000000,204559.000000000000000,204559.000000000000000,2843.000000000000000,5.000000000000000,0.000810000000000,41.000000000000000,0.068990327417900,0.155000000000000,48.000000000000000,0.068990327417900,22.153535842899998,0.683541345174000,0.000982452941817,0.315476201884000,43.500000000000000,7.500000000000000
34,35,53.337499999999999,8.500000000000000,113177.000000000000000,113177.000000000000000,43393.000000000000000,5.000000000000000,0.000154380291947,275.932016534000010,11491.570312500000000,2.398000000000000,239.462986715000000,9972.767146199999800,56.351551055900003,0.023319967069000,0.971192269110000,0.005487763820770,53.000000000000000,9.000000000000000
35,36,53.545833333300003,9.866666666670000,109965.000000000000000,109965.000000000000000,131288.000000000000000,5.000000000000000,0.000010000000000,418.577162112000000,3942996.750000000000000,2.586000000000000,487.781900070000010,3942996.750000000000000,56.351551055900003,0.000123691351120,0.999862019067000,0.000014289582059,53.500000000000000,10.000000000000000
36,37,43.587499999999999,10.300000000000001,205317.000000000000000,205317.000000000000000,380.000000000000000,5.000000000000000,0.000760000000000,57.000000000000000,0.132181629539000,0.175000000000000,70.000000000000000,0.132181629539000,103.157859802000000,0.403947044052000,0.000762776836144,0.595290179112000,43.500000000000000,10.500000000000000
37,38,42.666666666700003,11.012499999999999,220584.000000000000000,220584.000000000000000,3651.000000000000000,5.000000000000000,0.000594592088188,19.826179562699998,0.095188885927200,0.182000000000000,23.049292640499999,0.095188885927200,60.000000000000000,0.277219753101000,0.001144861140270,0.721635385758000,42.500000000000000,11.500000000000000
38,39,44.962499999999999,12.516666666700001,187351.000000000000000,187351.000000000000000,73717.000000000000000,5.000000000000000,0.000080000000000,1525.000000000000000,1210.043334960000000,0.436000000000000,545.000000000000000,432.441716429000000,32.291275024400001,0.539746650464000,0.428273335713000,0.031980013823200,44.500000000000000,13.000000000000000
39,40,42.470833333300000,14.225000000000000,222489.000000000000000,222489.000000000000000,2912.000000000000000,5.000000000000000,0.000860000000000,29.000000000000000,0.075158149004000,0.199000000000000,60.000000000000000,0.075158149004000,24.559305191000000,0.708931062266000,0.000888032440189,0.290180905293000,42.000000000000000,14.500000000000000
