FID,OBJECTID,MouthLat,MouthLon,River,F4,Qav__m3_s_,Qmx__m3_s_,Qs__kg_s_,Qb__kg_s_,Qbmx__kg_s,Yield__T_k,Cs__kg_m3_,L__km_,Q_A__m_yr_,Dgrd__m_km,CN__Pre_da,CN__Modern,DSh__m_,Wa__m_,Ti__m_,AD__km2_,Dmm__mm_,TCw__km_,TCw__Rw,Pm__Pr,φ,TVs_ΘADDS
20,21,31.445833333300001,30.387499999999999,Nile,Egypt,3484.000000000000000,9858.000000000000000,3800.000000000000000,76.000000000000000,214.000000000000000,43.000000000000000,1.400000000000000,6669.000000000000000,0.040000000000000,0.000090000000000,15.000000000000000,6.000000000000000,120.000000000000000,1.500000000000000,0.400000000000000,24512.000000000000000,0.03,1.400000000000000,1.900000000000000,0.200000000000000,1.610000000000000,0.300000000000000
21,22,24.083333333300001,67.654166666699993,Indus,Pak,3171.000000000000000,18100.000000000000000,7884.000000000000000,94.000000000000000,536.000000000000000,261.000000000000000,1.050000000000000,3180.000000000000000,0.100000000000000,0.000120000000000,9.000000000000000,6.000000000000000,70.000000000000000,3.500000000000000,5.000000000000000,6780.000000000000000,–,19.300000000000001,19.300000000000001,1.600000000000000,0.210000000000000,3.200000000000000
22,23,16.712499999999999,82.245833333299998,Godavari,India,2650.000000000000000,11810.000000000000000,5387.000000000000000,174.000000000000000,776.000000000000000,611.000000000000000,2.030000000000000,1450.000000000000000,0.290000000000000,0.000270000000000,7.000000000000000,11.000000000000000,200.000000000000000,2.000000000000000,3.000000000000000,4400.000000000000000,–,9.600000000000000,12.000000000000000,0.400000000000000,0.430000000000000,1.200000000000000
23,24,-8.275000000000000,142.404166667000000,Fly,Png,2510.000000000000000,3500.000000000000000,2219.000000000000000,120.000000000000000,168.000000000000000,1146.000000000000000,0.880000000000000,1130.000000000000000,1.230000000000000,0.000190000000000,5.000000000000000,5.000000000000000,50.000000000000000,1.500000000000000,4.000000000000000,2800.000000000000000,–,55.000000000000000,36.700000000000003,2.500000000000000,0.130000000000000,3.200000000000000
24,25,20.333333333300001,86.658333333300007,Mahanadi,India,2112.000000000000000,6900.000000000000000,1901.000000000000000,52.000000000000000,170.000000000000000,440.000000000000000,0.970000000000000,900.000000000000000,0.480000000000000,0.000100000000000,11.000000000000000,9.000000000000000,100.000000000000000,2.000000000000000,3.500000000000000,5900.000000000000000,–,2.900000000000000,3.200000000000000,2.100000000000000,0.120000000000000,0.600000000000000
25,26,15.762499999999999,80.837500000000006,Krishna,India,1890.000000000000000,6501.000000000000000,2028.000000000000000,218.000000000000000,748.000000000000000,283.000000000000000,1.260000000000000,1290.000000000000000,0.240000000000000,0.000470000000000,5.000000000000000,7.000000000000000,100.000000000000000,2.000000000000000,3.000000000000000,2100.000000000000000,–,1.100000000000000,2.800000000000000,0.400000000000000,0.170000000000000,2.100000000000000
26,27,71.549999999999997,150.750000000000000,Indigirka,Rus,1734.000000000000000,5570.000000000000000,346.000000000000000,64.000000000000000,206.000000000000000,36.000000000000000,0.260000000000000,1726.000000000000000,0.150000000000000,0.000150000000000,28.000000000000000,28.000000000000000,30.000000000000000,1.000000000000000,1.000000000000000,4800.000000000000000,–,21.199999999999999,11.800000000000001,0.200000000000000,0.210000000000000,0.500000000000000
27,28,43.383333333300001,4.808333333330000,Rhone,Fr,1700.000000000000000,2050.000000000000000,1861.000000000000000,45.000000000000000,54.000000000000000,668.000000000000000,1.310000000000000,820.000000000000000,0.600000000000000,0.000110000000000,4.000000000000000,2.000000000000000,70.000000000000000,2.000000000000000,0.500000000000000,1540.000000000000000,0.2,3.100000000000000,1.700000000000000,1.700000000000000,0.450000000000000,3.400000000000000
28,29,44.962499999999999,12.516666666700001,Po,Ita,1525.000000000000000,2846.000000000000000,545.000000000000000,16.000000000000000,30.000000000000000,253.000000000000000,0.280000000000000,652.000000000000000,0.690000000000000,0.000040000000000,10.000000000000000,7.000000000000000,30.000000000000000,1.500000000000000,0.700000000000000,1050.000000000000000,0.4,0.400000000000000,2.000000000000000,2.200000000000000,0.200000000000000,3.400000000000000
29,30,29.995833333299998,48.462499999999999,Tigris–Euphrates,Ira,1500.000000000000000,4000.000000000000000,1680.000000000000000,82.000000000000000,217.000000000000000,53.000000000000000,1.120000000000000,2815.000000000000000,0.050000000000000,0.000220000000000,4.000000000000000,5.000000000000000,50.000000000000000,1.000000000000000,3.000000000000000,3850.000000000000000,–,12.300000000000001,8.199999999999999,1.000000000000000,0.180000000000000,1.800000000000000
